gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
Gal3st1,2.2769999999999997,1.5019999999999998,0.882,1.109,1.082,0.188,1.234,0.6940000000000001,0.9079999999999999,1.618,5.0
Gal3st3,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.093999999999999
Gal3st4,1.318,0.0,0.0,0.0,1.969,0.0,0.0,0.0,1.125,0.0,1.311
Galc,2.25,2.3209999999999997,2.303,1.955,4.396,1.492,1.6230000000000002,1.3459999999999999,1.431,4.111000000000001,1.365
Gale,1.345,1.2229999999999999,1.102,2.217,0.7659999999999999,1.215,1.262,0.0,3.909,0.802,0.706
Galk1,1.479,1.4880000000000002,1.3430000000000002,3.4,1.19,0.5710000000000001,1.246,0.757,4.08,0.8290000000000001,1.07
Galk2,0.7290000000000001,1.1440000000000001,0.0,1.3730000000000002,1.5530000000000002,0.7290000000000001,0.794,0.0,3.9339999999999997,0.0,0.775
Galm,1.035,0.872,0.583,1.131,1.242,0.903,0.67,0.0,2.6689999999999996,0.0,0.7959999999999999
Galns,3.21,0.775,0.0,0.799,0.5710000000000001,0.0,0.0,0.0,0.546,4.106,0.0
Galnt1,3.535,1.166,0.892,0.972,0.469,0.6559999999999999,1.09,0.0,1.286,0.8490000000000001,4.309
Galnt10,1.7380000000000002,1.133,0.54,0.9440000000000001,0.0,0.281,1.34,0.0,0.596,0.469,4.226
Galnt11,1.531,0.654,0.0,0.9079999999999999,1.219,0.0,0.42200000000000004,0.0,0.853,0.0,3.8930000000000002
Galnt12,1.861,1.3330000000000002,0.0,0.6559999999999999,0.0,0.0,0.773,0.0,0.675,0.75,4.04
Galnt13,1.456,0.6940000000000001,0.55,0.54,0.0,0.469,0.728,0.0,0.0,0.188,4.0169999999999995
Galnt14,1.176,2.71,0.547,0.863,0.8390000000000001,0.0,0.9570000000000001,0.0,0.9159999999999999,0.0,3.7560000000000002
Galnt15,1.84,0.0,0.0,0.0,0.0,0.0,0.6559999999999999,0.0,0.0,0.375,3.895
Galnt16,1.629,0.0,0.642,0.536,0.23399999999999999,0.32799999999999996,0.75,0.0,0.851,0.281,3.984
Galnt18,0.7190000000000001,2.062,0.0,0.6920000000000001,0.0,0.375,1.1909999999999998,0.0,0.0,0.0,4.0
Galnt2,5.0,1.194,0.715,0.995,0.5870000000000001,0.0,1.286,0.915,0.8140000000000001,0.991,5.0
Galnt3,1.6,1.27,0.774,1.392,0.52,0.0,1.092,0.0,0.877,0.519,4.697
Galnt4,0.888,0.517,0.0,0.5489999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.364
Galnt5,1.421,0.75,0.7929999999999999,0.757,0.0,0.0,1.219,0.0,0.789,0.0,4.0969999999999995
