gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
ERBB4,4.68,4.768,2.396,5.0,5.0,1.101,1.83,1.8519999999999999,4.4719999999999995,2.1,1.47
ERC1,1.5330000000000001,5.0,5.0,3.9410000000000003,1.2309999999999999,0.0,1.062,1.4780000000000002,5.0,1.061,3.583
ERC2,1.082,4.283,3.793,3.51,0.92,0.0,0.8079999999999999,0.932,2.251,0.0,1.514
ERC2-IT1,0.8270000000000001,0.727,0.882,0.826,0.633,0.0,0.0,0.0,0.9179999999999999,0.0,0.0
ERCC1,1.632,1.706,2.13,5.0,1.8430000000000002,0.594,1.104,0.735,3.553,0.965,0.7609999999999999
ERCC2,1.331,1.369,5.0,5.0,1.5290000000000001,0.9470000000000001,0.593,0.0,4.645,0.544,0.0
ERCC3,0.943,1.04,1.214,5.0,1.262,0.0,0.64,0.0,2.224,0.0,0.0
ERCC4,0.782,2.031,1.06,5.0,1.158,0.0,0.0,0.0,2.252,0.0,0.5
ERCC5,1.079,0.8490000000000001,2.5989999999999998,5.0,1.192,0.518,0.0,0.0,0.987,0.0,0.0
ERCC6,1.1420000000000001,1.138,1.43,5.0,1.591,0.0,0.9259999999999999,0.591,2.343,0.603,0.0
ERCC6L,0.595,1.939,2.7239999999999998,3.9539999999999997,0.795,0.0,0.0,0.0,4.56,0.0,0.0
ERCC6L2,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.4409999999999998,0.0,0.0
ERCC8,0.551,0.602,1.072,5.0,1.215,0.0,0.0,0.0,2.02,0.672,0.0
EREG,5.0,5.0,1.936,2.145,1.4340000000000002,0.0,1.455,1.421,1.732,1.456,1.06
